drug_name,dose_range,efficacy_model,side_effect_model
HyperoBlock,6mg - 35mg,0.559,0.258
BetaMax,3mg - 32mg,0.808,0.3
NitroRelief,9mg - 22mg,0.906,0.3
Lisinop,6mg - 34mg,0.878,0.103
Vigorin,2mg - 47mg,0.571,0.048
Aterolax,5mg - 50mg,0.57,0.06
StatinPro,7mg - 28mg,0.824,0.195
CardioMetix,13mg - 27mg,0.735,0.074
DynaStat,8mg - 54mg,0.724,0.3
Coresyn,3mg - 34mg,0.838,0.072
Cozaar,3mg - 59mg,0.882,0.139
HeparinZ,9mg - 53mg,0.5,0.174
PulmoLift,10mg - 47mg,0.584,0.02
Amlopress,8mg - 51mg,0.529,0.3
Doxazosin,12mg - 26mg,0.632,0.053
AngioZyme,5mg - 44mg,0.827,0.111
VascuGuard,6mg - 29mg,0.89,0.264
DigiCard,5mg - 25mg,0.651,0.291
DiureticPlus,9mg - 48mg,0.937,0.3
PharmaFlow,2mg - 28mg,0.719,0.134
Zentril,11mg - 15mg,0.663,0.189
Relaxon,2mg - 17mg,0.717,0.3
TensionEase,10mg - 26mg,0.98,0.25
Verelan,7mg - 15mg,0.818,0.213
Tenormin,5mg - 57mg,0.524,0.3
