iter	Passed	Remaining
0	2	1392
1	4	1149
2	6	1017
3	7	986
4	9	962
5	11	947
6	13	932
7	14	915
8	16	901
9	18	902
10	20	893
11	21	884
12	23	879
13	25	873
14	26	869
15	28	869
16	30	869
17	32	867
18	34	866
19	36	872
20	38	869
21	39	865
22	41	869
23	43	865
24	45	860
25	47	857
26	48	853
27	50	848
28	52	847
29	53	843
30	55	839
31	57	838
32	59	836
33	60	834
34	62	832
35	64	832
36	66	829
37	68	827
38	69	819
39	70	815
40	72	811
41	74	808
42	75	806
43	77	802
44	79	799
45	80	799
46	82	798
47	84	796
48	86	797
49	88	794
50	89	792
51	91	790
52	93	787
53	95	784
54	96	782
55	98	781
56	100	779
57	102	777
58	103	774
59	105	771
60	106	768
61	108	766
62	110	763
63	111	761
64	113	757
65	115	756
66	116	753
67	118	751
68	119	749
69	121	746
70	123	743
71	124	741
72	126	740
73	128	739
74	130	738
75	132	737
76	133	735
77	135	733
78	137	731
79	139	730
80	140	728
81	142	727
82	144	725
83	146	724
84	148	722
85	149	720
86	151	719
87	153	717
88	155	716
89	156	714
90	158	712
91	160	712
92	162	710
93	164	708
94	165	706
95	167	704
96	169	702
97	170	700
98	172	697
99	173	695
100	175	693
101	177	691
102	179	690
103	180	688
104	182	687
105	184	685
106	186	683
107	187	681
108	189	679
109	191	677
110	192	674
111	194	672
112	195	670
113	197	667
114	198	665
115	200	663
116	201	660
117	203	658
118	204	656
119	206	654
120	208	651
121	209	649
122	211	647
123	212	645
124	214	643
125	215	640
126	217	639
127	219	636
128	220	634
129	222	632
130	224	630
131	225	628
132	227	626
133	228	624
134	230	622
135	231	620
136	233	618
137	234	616
138	236	614
139	237	611
140	239	610
141	241	608
142	242	606
143	244	604
144	246	602
145	247	600
146	249	598
147	251	597
148	252	594
149	254	592
150	255	590
151	257	588
152	258	586
153	260	584
154	261	582
155	263	581
156	265	579
157	266	577
158	268	575
159	270	574
160	271	571
161	273	569
162	274	568
163	276	566
164	277	564
165	279	562
166	281	560
167	282	558
168	284	556
169	285	555
170	287	553
171	289	551
172	290	549
173	292	547
174	293	545
175	295	543
176	297	542
177	298	540
178	300	538
179	301	536
180	303	534
181	304	532
182	306	530
183	307	528
184	309	526
185	310	524
186	312	522
187	314	521
188	315	519
189	317	517
190	318	515
191	320	514
192	322	512
193	323	510
194	325	508
195	326	506
196	328	504
197	329	502
198	331	501
199	333	499
200	334	497
201	336	495
202	337	493
203	339	492
204	340	490
205	342	488
206	343	486
207	345	484
208	346	482
209	348	481
210	350	479
211	351	477
212	353	475
213	354	474
214	356	472
215	357	470
216	359	468
217	361	467
218	362	465
219	364	463
220	365	461
221	367	459
222	368	458
223	370	456
224	371	454
225	373	452
226	375	451
227	376	449
228	378	447
229	379	445
230	381	443
231	382	442
232	384	440
233	385	438
234	387	437
235	389	435
236	390	433
237	392	431
238	393	430
239	395	428
240	397	426
241	398	424
242	400	423
243	401	421
244	403	419
245	405	418
246	406	416
247	408	415
248	410	413
249	411	411
250	413	410
251	415	408
252	416	407
253	418	405
254	420	403
255	421	401
256	423	400
257	424	398
258	426	396
259	427	394
260	429	393
261	430	391
262	432	389
263	434	387
264	435	386
265	437	384
266	438	382
267	440	381
268	441	379
269	443	377
270	444	375
271	446	374
272	447	372
273	449	370
274	451	369
275	452	367
276	454	365
277	455	364
278	457	362
279	459	360
280	460	359
281	462	357
282	463	355
283	465	353
284	466	352
285	468	350
286	469	348
287	471	347
288	473	345
289	474	343
290	476	342
291	477	340
292	479	338
293	480	336
294	482	335
295	483	333
296	485	331
297	487	330
298	488	328
299	490	326
300	491	325
301	493	323
302	495	321
303	496	320
304	498	318
305	499	316
306	501	315
307	503	313
308	504	312
309	506	310
310	508	308
311	509	307
312	511	305
313	512	303
314	514	302
315	515	300
316	517	298
317	518	296
318	520	295
319	521	293
320	523	291
321	525	290
322	526	288
323	528	286
324	529	285
325	531	283
326	532	281
327	534	280
328	536	278
329	537	277
330	539	275
331	541	273
332	542	272
333	544	270
334	545	268
335	547	267
336	548	265
337	550	263
338	551	262
339	553	260
340	555	258
341	556	257
342	558	255
343	559	253
344	561	252
345	562	250
346	564	248
347	566	247
348	567	245
349	569	243
350	570	242
351	572	240
352	573	238
353	575	237
354	577	235
355	578	234
356	580	232
357	581	230
358	583	229
359	585	227
360	586	225
361	588	224
362	589	222
363	591	220
364	592	219
365	594	217
366	595	215
367	597	214
368	599	212
369	600	211
370	602	209
371	603	207
372	605	206
373	607	204
374	608	202
375	610	201
376	611	199
377	613	197
378	614	196
379	616	194
380	617	192
381	619	191
382	620	189
383	622	188
384	624	186
385	625	184
386	627	183
387	628	181
388	630	179
389	631	178
390	633	176
391	634	174
392	636	173
393	638	171
394	639	170
395	641	168
396	642	166
397	644	165
398	646	163
399	647	161
400	649	160
401	650	158
402	652	157
403	654	155
404	655	153
405	657	152
406	658	150
407	660	148
408	661	147
409	663	145
410	664	143
411	666	142
412	668	140
413	669	139
414	671	137
415	672	135
416	674	134
417	675	132
418	677	130
419	679	129
420	680	127
421	682	126
422	683	124
423	685	122
424	686	121
425	688	119
426	689	117
427	691	116
428	693	114
429	694	113
430	696	111
431	697	109
432	699	108
433	701	106
434	702	104
435	704	103
436	705	101
437	707	100
438	708	98
439	710	96
440	711	95
441	713	93
442	714	91
443	716	90
444	718	88
445	719	87
446	721	85
447	722	83
448	724	82
449	726	80
450	727	79
451	729	77
452	730	75
453	732	74
454	733	72
455	735	70
456	736	69
457	738	67
458	740	66
459	741	64
460	743	62
461	744	61
462	746	59
463	747	58
464	749	56
465	750	54
466	752	53
467	754	51
468	755	49
469	757	48
470	758	46
471	760	45
472	761	43
473	763	41
474	764	40
475	766	38
476	767	37
477	769	35
478	771	33
479	773	32
480	774	30
481	776	28
482	777	27
483	779	25
484	781	24
485	783	22
486	784	20
487	786	19
488	787	17
489	789	16
490	790	14
491	792	12
492	794	11
493	795	9
494	797	8
495	798	6
496	800	4
497	801	3
498	803	1
499	805	0
